tris.date,time,TTris,mVTris
20220924,1013,11.18,-73
20220924,1016,13.31,-72
20220924,1020,14.66,-70.3
20220924,1025,16.18,-68.3
20220924,1030,17.28,-66.7
20220924,1049,18.75,-64.9
20220924,1057,19.48,-64.1
20220924,1102,20.18,-63.1
20220924,1106,21.08,-61.9
20220924,1111,22.19,-60.6
20220924,1115,23.07,-59.4
20220924,1120,24.04,-58
20220924,1125,25.03,-56.7
20220924,1130,26.06,-55.4
20220924,1135,27.27,-53.9
20220924,1140,28,-52.8
20220924,1145,28.96,-51.8
20220924,1150,30.42,-49.6
20220924,1153,31.06,-48.6
20220924,1159,32.27,-47.1
20220924,1204,33.35,-45.6
20220924,1210,34,-44.8
20220924,1215,35.12,-43.1
20220924,1220,36.22,-41.6
