Meas.Temp,Treatment.Temp,Days.Exposure,N,Mean_R,SE_R
27,Ambient,0,17,0.023707365608949673,0.003094445708102651
27,Ambient,2,34,0.02863965317567174,0.0030980327666505596
27,Ambient,4,15,0.015590375330385353,0.0026863203556818545
27,High,0,17,0.026960673175723933,0.003090661464968839
27,High,2,34,0.030264893553726493,0.003560117331972591
27,High,4,15,0.01843135302886413,0.004015544029525733
30,Ambient,0,15,0.025873070926839267,0.004744710576227481
30,Ambient,2,30,0.02039106374311699,0.003253701225034354
30,Ambient,4,17,0.014045255014575998,0.002664514614175521
30,High,0,18,0.030337450935665134,0.003809325226386588
30,High,2,30,0.0182828048525821,0.0024878693158959025
30,High,4,16,0.01667032051655923,0.002185496511258934
